post_id,applied,target_slug,anchor_text,reason
2026-07-30-cleaning-28,예,2026-08-04-cleaning-auto-123d17,옷 줄었을 때,
2026-07-30-cleaning-32,예,2026-07-30-cleaning-28,빨래 쉰 냄새 제거,
2026-07-30-lifestyle-59,예,2026-07-30-lifestyle-61,1인 가구 외로움,
2026-07-30-lifestyle-61,예,2026-07-30-lifestyle-63,안부 연락,
2026-07-30-lifestyle-63,예,2026-07-30-lifestyle-61,1인 가구 외로움,
2026-07-30-storage-18,예,2026-08-01-storage-auto-387eaf,1인 가구 옷 정리,
2026-07-30-storage-19,예,2026-08-06-storage-auto-772373,1인 가구 캐리어,
2026-07-30-storage-21,예,2026-07-30-storage-18,계절옷 보관,
2026-07-30-storage-24,예,2026-08-01-storage-auto-316ab0,1인 가구 수납,
2026-07-31-cleaning-74,예,2026-08-08-cleaning-auto-e6a45e,세탁기 냄새,
2026-08-01-cleaning-auto-070bfd,예,2026-08-06-cleaning-auto-f4b529,1인 가구 빨래,
2026-08-01-cleaning-auto-2b8bbd,예,2026-08-01-cleaning-auto-b67a07,1인 가구 세탁,
2026-08-01-cleaning-auto-b67a07,예,2026-08-06-cleaning-auto-530ba0,1인 가구 세탁,
2026-08-01-lifestyle-auto-29922b,예,2026-07-30-lifestyle-59,1인 가구 무기력,
2026-08-01-lifestyle-auto-ac59b7,예,2026-07-30-lifestyle-59,1인 가구 무기력,
2026-08-01-lifestyle-auto-b13421,예,2026-07-30-lifestyle-61,1인 가구 외로움,
2026-08-01-lifestyle-auto-f56796,예,2026-08-03-lifestyle-auto-06c5e8,1인 가구 시간 활용,
2026-08-01-storage-auto-316ab0,예,2026-07-30-storage-24,1인 가구 수납,
2026-08-01-storage-auto-387eaf,예,2026-08-01-storage-auto-662a7f,1인 가구 옷 정리,
2026-08-01-storage-auto-39ae63,예,2026-08-08-storage-auto-12975c,1인 가구 청소 도구 수납,
2026-08-01-storage-auto-499287,예,2026-07-30-storage-18,계절옷 보관,
