cluster_id,cluster_name,article_count,avg_match_score,intent_consistency_pct,keyword_clarity_pct,avg_internal_links,quality_score,breakdown
emergency-response,응급상황 대처,42,1.24,26.2,0,11.02,53.8,글수 3/3 + 주제명확도 1.9/3 + 의도일관성 0.5/2 + keyword명확도 0/1 + 링크확장여력 0/1
kitchen-cleaning,주방 청소,12,1.92,58.3,0,11.17,52.4,글수 1.2/3 + 주제명확도 2.9/3 + 의도일관성 1.2/2 + keyword명확도 0/1 + 링크확장여력 0/1
bathroom-cleaning,욕실 청소,14,1.21,85.7,0,11.79,49.4,글수 1.4/3 + 주제명확도 1.8/3 + 의도일관성 1.7/2 + keyword명확도 0/1 + 링크확장여력 0/1
fire-prevention,화재 예방,10,1.5,50,0,12.9,42.5,글수 1/3 + 주제명확도 2.3/3 + 의도일관성 1/2 + keyword명확도 0/1 + 링크확장여력 0/1
ingredient-storage,식재료 보관,11,1.36,45.5,0,10.91,40.5,글수 1.1/3 + 주제명확도 2/3 + 의도일관성 0.9/2 + keyword명확도 0/1 + 링크확장여력 0/1
deposit,보증금,13,1.38,30.8,0,11.31,39.9,글수 1.3/3 + 주제명확도 2.1/3 + 의도일관성 0.6/2 + keyword명확도 0/1 + 링크확장여력 0/1
lease-contract,전월세 계약,11,1.27,36.4,0,11.18,37.4,글수 1.1/3 + 주제명확도 1.9/3 + 의도일관성 0.7/2 + keyword명확도 0/1 + 링크확장여력 0/1
lock-security,도어락·보안,10,1.4,30,0,14.3,37,글수 1/3 + 주제명확도 2.1/3 + 의도일관성 0.6/2 + keyword명확도 0/1 + 링크확장여력 0/1
moving-prep,이사 준비,10,1.4,30,0,13.5,37,글수 1/3 + 주제명확도 2.1/3 + 의도일관성 0.6/2 + keyword명확도 0/1 + 링크확장여력 0/1
relationship-management,관계 관리,8,1.38,37.5,0,11.38,36.1,글수 0.8/3 + 주제명확도 2.1/3 + 의도일관성 0.8/2 + keyword명확도 0/1 + 링크확장여력 0/1
